dataset,run,model,hop,hits,total,recall
CellOntology_SUB,CellOntology_SUB_SingleCall_gemini31b,gemini-3.1-pro-preview,2,19,141,0.1348
CellOntology_SUB,CellOntology_SUB_SingleCall_gemini31b,gemini-3.1-pro-preview,3,11,121,0.0909
CellOntology_SUB,CellOntology_SUB_SingleCall_gemini31b,gemini-3.1-pro-preview,4,5,92,0.0543
CellOntology_SUB,CellOntology_SUB_SingleCall_gemini31b,gemini-3.1-pro-preview,5,3,69,0.0435
CellOntology_SUB,CellOntology_SUB_SingleCall_gemini31b,gemini-3.1-pro-preview,6,0,33,0.0
CellOntology_SUB,CellOntology_SUB_SingleCall_gemini31b,gemini-3.1-pro-preview,7,0,12,0.0
CellOntology_SUB,CellOntology_SUB_SingleCall_gemini31b,gemini-3.1-pro-preview,8,0,2,0.0
CellOntology_SUB,CellOntology_SUB_SingleCall_gemma4b,google/gemma-4-31b-it,1,73,135,0.5407
CellOntology_SUB,CellOntology_SUB_SingleCall_gemma4b,google/gemma-4-31b-it,2,80,141,0.5674
CellOntology_SUB,CellOntology_SUB_SingleCall_gemma4b,google/gemma-4-31b-it,3,68,121,0.562
CellOntology_SUB,CellOntology_SUB_SingleCall_gemma4b,google/gemma-4-31b-it,4,49,92,0.5326
CellOntology_SUB,CellOntology_SUB_SingleCall_gemma4b,google/gemma-4-31b-it,5,36,69,0.5217
CellOntology_SUB,CellOntology_SUB_SingleCall_gemma4b,google/gemma-4-31b-it,6,18,33,0.5455
CellOntology_SUB,CellOntology_SUB_SingleCall_gemma4b,google/gemma-4-31b-it,7,7,12,0.5833
CellOntology_SUB,CellOntology_SUB_SingleCall_gemma4b,google/gemma-4-31b-it,8,1,2,0.5
LLMs4OL_MatOnto_SUB,LLMs4OL_MatOnto_SUB_Our_Method_k1000_clawback0_gemini31b,gemini-3.1-pro-preview,1,75,90,0.8333
LLMs4OL_MatOnto_SUB,LLMs4OL_MatOnto_SUB_Our_Method_k1000_clawback0_gemini31b,gemini-3.1-pro-preview,2,49,62,0.7903
LLMs4OL_MatOnto_SUB,LLMs4OL_MatOnto_SUB_Our_Method_k1000_clawback0_gemini31b,gemini-3.1-pro-preview,3,45,53,0.8491
LLMs4OL_MatOnto_SUB,LLMs4OL_MatOnto_SUB_Our_Method_k1000_clawback0_gemini31b,gemini-3.1-pro-preview,4,42,45,0.9333
LLMs4OL_MatOnto_SUB,LLMs4OL_MatOnto_SUB_Our_Method_k1000_clawback0_gemini31b,gemini-3.1-pro-preview,5,16,16,1.0
LLMs4OL_MatOnto_SUB,LLMs4OL_MatOnto_SUB_Our_Method_k1000_clawback0_gemini31b,gemini-3.1-pro-preview,6,3,3,1.0
LLMs4OL_MatOnto_SUB,LLMs4OL_MatOnto_SUB_Our_Method_k1000_clawback0_gemma4b,google/gemma-4-31b-it,1,70,90,0.7778
LLMs4OL_MatOnto_SUB,LLMs4OL_MatOnto_SUB_Our_Method_k1000_clawback0_gemma4b,google/gemma-4-31b-it,2,41,62,0.6613
LLMs4OL_MatOnto_SUB,LLMs4OL_MatOnto_SUB_Our_Method_k1000_clawback0_gemma4b,google/gemma-4-31b-it,3,44,53,0.8302
LLMs4OL_MatOnto_SUB,LLMs4OL_MatOnto_SUB_Our_Method_k1000_clawback0_gemma4b,google/gemma-4-31b-it,4,39,45,0.8667
LLMs4OL_MatOnto_SUB,LLMs4OL_MatOnto_SUB_Our_Method_k1000_clawback0_gemma4b,google/gemma-4-31b-it,5,14,16,0.875
LLMs4OL_MatOnto_SUB,LLMs4OL_MatOnto_SUB_Our_Method_k1000_clawback0_gemma4b,google/gemma-4-31b-it,6,2,3,0.6667
LLMs4OL_MatOnto_SUB,LLMs4OL_MatOnto_SUB_SingleCall_gemini31b,gemini-3.1-pro-preview,1,69,90,0.7667
LLMs4OL_MatOnto_SUB,LLMs4OL_MatOnto_SUB_SingleCall_gemini31b,gemini-3.1-pro-preview,2,42,62,0.6774
LLMs4OL_MatOnto_SUB,LLMs4OL_MatOnto_SUB_SingleCall_gemini31b,gemini-3.1-pro-preview,3,39,53,0.7358
LLMs4OL_MatOnto_SUB,LLMs4OL_MatOnto_SUB_SingleCall_gemini31b,gemini-3.1-pro-preview,4,40,45,0.8889
LLMs4OL_MatOnto_SUB,LLMs4OL_MatOnto_SUB_SingleCall_gemini31b,gemini-3.1-pro-preview,5,16,16,1.0
LLMs4OL_MatOnto_SUB,LLMs4OL_MatOnto_SUB_SingleCall_gemini31b,gemini-3.1-pro-preview,6,3,3,1.0
LLMs4OL_MatOnto_SUB,LLMs4OL_MatOnto_SUB_SingleCall_gemma4b,google/gemma-4-31b-it,1,57,90,0.6333
LLMs4OL_MatOnto_SUB,LLMs4OL_MatOnto_SUB_SingleCall_gemma4b,google/gemma-4-31b-it,2,28,62,0.4516
LLMs4OL_MatOnto_SUB,LLMs4OL_MatOnto_SUB_SingleCall_gemma4b,google/gemma-4-31b-it,3,28,53,0.5283
LLMs4OL_MatOnto_SUB,LLMs4OL_MatOnto_SUB_SingleCall_gemma4b,google/gemma-4-31b-it,4,26,45,0.5778
LLMs4OL_MatOnto_SUB,LLMs4OL_MatOnto_SUB_SingleCall_gemma4b,google/gemma-4-31b-it,5,6,16,0.375
LLMs4OL_MatOnto_SUB,LLMs4OL_MatOnto_SUB_SingleCall_gemma4b,google/gemma-4-31b-it,6,0,3,0.0
LLMs4OL_OBI_SUB,LLMs4OL_OBI_SUB_Our_Method_k1000_clawback0_gemini31b,gemini-3.1-pro-preview,1,78,86,0.907
