Method,n_nodes,n_multi_syn_nodes,recall_syn1,recall_syn2plus,recall_lift,precision_syn1,precision_syn2plus,precision_lift,spearman_recall
Our_Method_direct_k1000_clawback0,1027,15,0.8876033057851239,,,0.5354131534569984,0.6444866920152091,0.10907353855821078,
Our_Method_full_json_k1000_clawback0,1036,21,0.819504132231405,,,0.6027572940044886,0.7434402332361516,0.14068293923166297,
Our_Method_full_k1000_clawback0,1045,26,0.8482644628099174,,,0.5546564257303525,0.7258382642998028,0.17118183856945035,
Our_Method_isa_k1000_clawback0,1049,26,0.8548760330578512,,,0.5712603062426383,0.6089193825042881,0.03765907626164977,
Our_Method_k1000_clawback0,1017,10,0.8965289256198347,,,0.6643862140183296,0.788546255506608,0.1241600414882783,
Our_Method_k1000_clawback0_gemini31b,713,5,0.9337016574585635,,,0.6682615629984051,0.9193548387096774,0.25109327571127227,
Our_Method_k1000_clawback0_gemma4b,750,26,0.8631534211644709,,,0.5539568345323741,0.6955223880597015,0.14156555352732736,
Our_Method_k1000_clawback10,1034,20,0.8231404958677686,,,0.5861370716510903,0.7602040816326531,0.17406700998156277,
Our_Method_k1000_clawback100,1032,19,0.7662809917355372,,,0.6276788957500908,0.7667844522968198,0.13910555654672896,
Our_Method_k1000_clawback15,322,11,0.8764845605700713,,,0.5498662590752771,0.6390977443609023,0.08923148528562519,
Our_Method_k1000_clawback2,322,11,0.8764845605700713,,,0.5490270888973674,0.6390977443609023,0.09007065546353488,
Our_Method_k1000_clawback20,322,11,0.8669833729216152,,,0.6026405451448041,0.7993827160493827,0.19674217090457857,
Our_Method_k1000_clawback25,1058,34,0.7996694214876033,,,0.6251400821815465,0.7212389380530974,0.09609885587155087,
Our_Method_k1000_clawback30,322,11,0.8764845605700713,,,0.5562427522226517,0.6390977443609023,0.08285499213825054,
Our_Method_k1000_clawback4,322,11,0.8764845605700713,,,0.5490270888973674,0.6390977443609023,0.09007065546353488,
Our_Method_k1000_clawback40,322,11,0.8764845605700713,,,0.5566731141199226,0.6390977443609023,0.08242463024097968,
Our_Method_k1000_clawback5,1034,20,0.827107438016529,,,0.5803831417624521,0.7589134125636672,0.17853027080121509,
Our_Method_k1000_clawback50,1034,20,0.7937190082644628,,,0.614256480218281,0.7665505226480837,0.1522940424298026,
Our_Method_k1000_clawback6,322,11,0.8764845605700713,,,0.5490270888973674,0.6390977443609023,0.09007065546353488,
Our_Method_k1000_clawback75,1033,19,0.7801652892561983,,,0.6223788546255506,0.7670753064798599,0.14469645185430924,
Our_Method_k1000_clawback8,322,11,0.8764845605700713,,,0.5490270888973674,0.6390977443609023,0.09007065546353488,
Our_Method_k25_clawback0,559,29,0.8819587628865979,,,0.3930993218986837,0.5849858356940509,0.19188651379536725,
Our_Method_k=10,102,1,0.9552238805970149,,,0.3389261744966443,0.25,-0.0889261744966443,
Our_Method_k=100,100,0,0.835820895522388,,,0.6256983240223464,,,
Our_Method_k=1000,4585,96,0.7991089240590504,,,0.2857799294330024,0.45013096917187184,0.16435103973886944,
Our_Method_legacy_json_k1000_clawback0,996,2,0.2793388429752066,,,0.5164596273291926,0.75,0.2335403726708074,
Our_Method_legacy_vocab_fix_k1000_clawback0,319,8,0.796875,,,0.7656467315716272,0.9625,0.1968532684283728,
Our_Method_no_conversational_k1000_clawback0,1037,21,0.8403305785123967,,,0.5697946809976574,0.7458563535911602,0.1760616725935028,
Our_Method_no_example_k1000_clawback0,1034,20,0.8347107438016529,,,0.5609521188772703,0.7443181818181818,0.1833660629409115,
Our_Method_no_quantifier_k1000_clawback0,1041,23,0.8813223140495868,,,0.5072653644592663,0.6749174917491749,0.16765212728990864,
Our_Method_no_restriction_k1000_clawback0,1040,23,0.8386776859504133,,,0.5610975766123862,0.6092184368737475,0.04812086026136131,
