Method,syn_count,n_nodes,gt_incident,gt_recovered,pred_incident,pred_correct,recall,precision,f1
Our_Method_k1000_clawback0_gemini31b,1,708,4706,4394,6270,4190,0.9337016574585635,0.6682615629984051,0.7789903301393823
Our_Method_k1000_clawback0_gemini31b,2,5,0,0,124,114,,0.9193548387096774,
Our_Method_k1000_clawback0_gemma4b,1,724,4706,4062,4726,2618,0.8631534211644709,0.5539568345323741,0.6748236207900925
Our_Method_k1000_clawback0_gemma4b,2,22,0,0,373,228,,0.6112600536193029,
Our_Method_k1000_clawback0_gemma4b,3,2,0,0,122,63,,0.5163934426229508,
Our_Method_k1000_clawback0_gemma4b,7,1,0,0,88,88,,1.0,
Our_Method_k1000_clawback0_gemma4b,9,1,0,0,87,87,,1.0,
Our_Method_k1000_clawback10,1,1014,6050,4980,6420,3763,0.8231404958677686,0.5861370716510903,0.6847099122634744
Our_Method_k1000_clawback10,2,14,0,0,297,203,,0.6835016835016835,
Our_Method_k1000_clawback10,3,4,0,0,195,148,,0.7589743589743589,
Our_Method_k1000_clawback10,4,1,0,0,95,95,,1.0,
Our_Method_k1000_clawback10,5,1,0,0,1,1,,1.0,
Our_Method_k1000_clawback100,1,1013,6050,4636,5506,3456,0.7662809917355372,0.6276788957500908,0.6900893075114479
Our_Method_k1000_clawback100,2,14,0,0,281,195,,0.693950177935943,
Our_Method_k1000_clawback100,3,4,0,0,192,146,,0.7604166666666666,
Our_Method_k1000_clawback100,4,1,0,0,93,93,,1.0,
Our_Method_k1000_clawback15,1,311,2526,2214,2617,1439,0.8764845605700713,0.5498662590752771,0.6757794503567311
Our_Method_k1000_clawback15,2,9,0,0,300,159,,0.53,
Our_Method_k1000_clawback15,3,1,0,0,94,94,,1.0,
Our_Method_k1000_clawback15,7,1,0,0,5,2,,0.4,
Our_Method_k1000_clawback2,1,311,2526,2214,2621,1439,0.8764845605700713,0.5490270888973674,0.6751453303563709
Our_Method_k1000_clawback2,2,9,0,0,300,159,,0.53,
Our_Method_k1000_clawback2,3,1,0,0,94,94,,1.0,
Our_Method_k1000_clawback2,7,1,0,0,5,2,,0.4,
Our_Method_k1000_clawback20,1,311,2526,2190,2348,1415,0.8669833729216152,0.6026405451448041,0.7110381452914675
Our_Method_k1000_clawback20,2,8,0,0,224,162,,0.7232142857142857,
Our_Method_k1000_clawback20,3,1,0,0,4,1,,0.25,
Our_Method_k1000_clawback20,4,1,0,0,95,95,,1.0,
Our_Method_k1000_clawback20,5,1,0,0,1,1,,1.0,
Our_Method_k1000_clawback25,1,1024,6050,4838,5354,3347,0.7996694214876033,0.6251400821815465,0.7017154315429264
Our_Method_k1000_clawback25,2,30,0,0,384,254,,0.6614583333333334,
Our_Method_k1000_clawback25,3,2,0,0,122,63,,0.5163934426229508,
Our_Method_k1000_clawback25,7,1,0,0,87,87,,1.0,
Our_Method_k1000_clawback25,9,1,0,0,85,85,,1.0,
Our_Method_k1000_clawback30,1,311,2526,2214,2587,1439,0.8764845605700713,0.5562427522226517,0.6805735884267204
Our_Method_k1000_clawback30,2,9,0,0,300,159,,0.53,
Our_Method_k1000_clawback30,3,1,0,0,94,94,,1.0,
Our_Method_k1000_clawback30,7,1,0,0,5,2,,0.4,
Our_Method_k1000_clawback4,1,311,2526,2214,2621,1439,0.8764845605700713,0.5490270888973674,0.6751453303563709
Our_Method_k1000_clawback4,2,9,0,0,300,159,,0.53,
Our_Method_k1000_clawback4,3,1,0,0,94,94,,1.0,
Our_Method_k1000_clawback4,7,1,0,0,5,2,,0.4,
Our_Method_k1000_clawback40,1,311,2526,2214,2585,1439,0.8764845605700713,0.5566731141199226,0.680895617317354
Our_Method_k1000_clawback40,2,9,0,0,300,159,,0.53,
