Dataset,Method,syn_count,n_nodes,gt_incident,gt_recovered,pred_incident,pred_correct,recall,precision,f1
medium_components_SUB,Our_Method_+restructure_prune_only_top10_+rank_neighborhood_k1000_clawback0,2,2,0,0,3,2,,0.6666666666666666,
medium_components_SUB,Our_Method_+restructure_prune_only_top10_+rank_salience_k1000_clawback0,1,102,356,282,289,274,0.7921348314606742,0.9480968858131488,0.8631270874990226
medium_components_SUB,Our_Method_+restructure_prune_only_top10_+rank_salience_k1000_clawback0,2,2,0,0,3,2,,0.6666666666666666,
medium_components_SUB,Our_Method_+restructure_prune_only_top10_+rank_self_agreement_k1000_clawback0,1,102,356,280,287,272,0.7865168539325843,0.9477351916376306,0.8596324890514244
medium_components_SUB,Our_Method_+restructure_prune_only_top10_+rank_self_agreement_k1000_clawback0,2,2,0,0,3,2,,0.6666666666666666,
medium_components_SUB,Our_Method_+restructure_prune_only_top10_k1000_clawback0,1,102,356,278,285,270,0.7808988764044944,0.9473684210526315,0.8561163387510693
medium_components_SUB,Our_Method_+restructure_prune_only_top10_k1000_clawback0,2,2,0,0,3,2,,0.6666666666666666,
medium_components_SUB,Our_Method_+restructure_prune_only_top25_k1000_clawback0,1,102,356,264,275,256,0.7415730337078652,0.9309090909090909,0.8255240142668687
medium_components_SUB,Our_Method_+restructure_prune_only_top25_k1000_clawback0,2,2,0,0,3,2,,0.6666666666666666,
medium_components_SUB,Our_Method_+restructure_ranked_k1000_clawback0,1,100,356,248,258,244,0.6966292134831461,0.9457364341085271,0.8022910479422997
medium_components_SUB,Our_Method_+restructure_ranked_k1000_clawback0,2,2,0,0,2,2,,1.0,
medium_components_SUB,Our_Method_+restructure_ranked_top25_k1000_clawback0,1,102,356,290,297,282,0.8146067415730337,0.9494949494949495,0.8768938784701
medium_components_SUB,Our_Method_+restructure_ranked_top25_k1000_clawback0,2,2,0,0,3,2,,0.6666666666666666,
medium_components_SUB,Our_Method_alt_Prompt_k1000_clawback0,1,102,356,262,293,255,0.7359550561797753,0.8703071672354948,0.7975123249734402
medium_components_SUB,Our_Method_alt_Prompt_k1000_clawback0,2,2,0,0,5,1,,0.2,
medium_components_SUB,Our_Method_alt_Prompt_k=1000,1,100,356,178,188,178,0.5,0.9468085106382979,0.6544117647058824
medium_components_SUB,Our_Method_direct_k1000_clawback0,1,100,356,282,466,282,0.7921348314606742,0.6051502145922747,0.6861313868613138
medium_components_SUB,Our_Method_full_json_k1000_clawback0,1,100,356,270,294,270,0.7584269662921348,0.9183673469387755,0.8307692307692308
medium_components_SUB,Our_Method_full_k1000_clawback0,1,101,356,270,279,262,0.7584269662921348,0.9390681003584229,0.8391359533101623
medium_components_SUB,Our_Method_full_k1000_clawback0,2,3,0,0,5,2,,0.4,
medium_components_SUB,Our_Method_isa_k1000_clawback0,1,100,356,266,286,266,0.7471910112359551,0.9300699300699301,0.8286604361370716
medium_components_SUB,Our_Method_k1000_clawback0,1,102,356,326,389,316,0.9157303370786517,0.8123393316195373,0.8609418745560153
medium_components_SUB,Our_Method_k1000_clawback0,2,2,0,0,3,2,,0.6666666666666666,
medium_components_SUB,Our_Method_k1000_clawback10,1,102,356,234,243,227,0.6573033707865169,0.934156378600823,0.7716489678515914
medium_components_SUB,Our_Method_k1000_clawback10,2,1,0,0,1,1,,1.0,
medium_components_SUB,Our_Method_k1000_clawback100,1,101,356,194,197,191,0.5449438202247191,0.9695431472081218,0.6977234639501383
medium_components_SUB,Our_Method_k1000_clawback100,2,1,0,0,1,1,,1.0,
medium_components_SUB,Our_Method_k1000_clawback25,1,102,356,274,279,266,0.7696629213483146,0.953405017921147,0.8517371539423402
medium_components_SUB,Our_Method_k1000_clawback25,2,2,0,0,3,2,,0.6666666666666666,
medium_components_SUB,Our_Method_k1000_clawback5,1,102,356,242,253,235,0.6797752808988764,0.9288537549407114,0.7850309898817001
medium_components_SUB,Our_Method_k1000_clawback5,2,1,0,0,1,1,,1.0,
medium_components_SUB,Our_Method_k1000_clawback50,1,102,356,216,219,209,0.6067415730337079,0.954337899543379,0.7418411279455747
medium_components_SUB,Our_Method_k1000_clawback50,2,1,0,0,1,1,,1.0,
medium_components_SUB,Our_Method_k1000_clawback75,1,102,356,206,209,199,0.5786516853932584,0.9521531100478469,0.7198370471825668
medium_components_SUB,Our_Method_k1000_clawback75,2,1,0,0,1,1,,1.0,
medium_components_SUB,Our_Method_legacy_json_k1000_clawback0,1,100,356,80,136,80,0.2247191011235955,0.5882352941176471,0.3252032520325203
medium_components_SUB,Our_Method_no_conversational_k1000_clawback0,1,101,356,282,298,282,0.7921348314606742,0.9463087248322147,0.8623853211009175
medium_components_SUB,Our_Method_no_example_k1000_clawback0,1,101,356,260,276,255,0.7303370786516854,0.9239130434782609,0.8157991878922112
medium_components_SUB,Our_Method_no_example_k1000_clawback0,3,1,0,0,2,1,,0.5,
medium_components_SUB,Our_Method_no_quantifier_k1000_clawback0,1,101,356,308,430,306,0.8651685393258427,0.7116279069767442,0.7809227097971629
medium_components_SUB,Our_Method_no_restriction_k1000_clawback0,1,102,356,240,254,230,0.6741573033707865,0.905511811023622,0.7728927471296555
medium_components_SUB,Our_Method_no_restriction_k1000_clawback0,2,3,0,0,4,2,,0.5,
medium_components_SUB,Our_Method_oneway_k1000_clawback0,1,101,356,178,188,173,0.5,0.9202127659574468,0.6479400749063671
medium_components_SUB,Our_Method_oneway_k1000_clawback0,2,2,0,0,2,1,,0.5,
medium_components_SUB,SBU_Batch,1,100,356,124,126,124,0.34831460674157305,0.9841269841269841,0.5145228215767634
medium_components_SUB,SBU_Embedding,1,100,356,56,490,56,0.15730337078651685,0.11428571428571428,0.13238770685579196
medium_components_SUB,TaxoLLaMA_PPL15.0,1,100,356,54,496,54,0.15168539325842698,0.10887096774193548,0.12676056338028172
medium_components_SUB,Vector,1,100,356,36,48,36,0.10112359550561797,0.75,0.17821782178217818
